id,SSU_49870,SSU_49871,SSU_49872,SSU_65981,SSU_65982,SSU_65983,SSU_65984,SSU_65985,SSU_65986
A1BG,4,1,22,0,0,0,0,0,0
A1BG-AS1,0,0,6,0,0,0,0,0,0
A1CF,4,3,107,0,0,0,0,0,0
A2M,8,3,119,1,0,0,0,1,0
A2M-AS1,0,0,21,0,0,0,0,0,0
A2ML1,7,1,138,0,0,0,0,0,0
A2MP1,2,1,30,0,0,0,0,0,0
A3GALT2,1,0,31,0,0,0,0,0,0
A4GALT,0,0,31,0,0,0,0,0,0
A4GNT,1,0,27,0,0,0,0,0,0
AA06,2,0,10,0,0,0,0,0,0
AAAS,43,38,75,15,21,21,33,24,20
AACS,5,6,87,0,4,0,2,2,4
AACSP1,0,0,47,0,0,0,0,0,0
AADAC,0,1,27,0,0,0,0,0,0
AADACL2,0,0,35,0,0,0,0,0,0
AADACL2-AS1,2,1,16,0,0,0,0,0,0
AADACL3,4,0,57,0,0,0,0,0,0
AADACL4,2,0,33,0,0,0,0,0,0
AADACP1,1,1,19,0,0,0,0,0,0
AADAT,3,2,60,0,0,0,0,0,0
AAED1,182,222,202,41,55,263,61,89,160
AAGAB,16,9,70,5,7,3,2,4,10
AAK1,23353,17882,12132,2260,2700,3407,2427,2419,3506
AAMDC,68,20,30,35,35,68,34,22,65
AAMP,324,630,255,97,97,144,130,153,145
AANAT,0,2,44,0,0,0,0,1,0
AAR2,15,44,77,10,22,20,26,25,24
AARD,0,0,29,0,0,0,0,0,0
AARS,531,433,202,63,158,55,157,202,65
AARS2,8,3,97,2,0,0,2,0,7
AARSD1,0,0,5,0,0,0,0,0,0
AASDH,1,3,84,0,3,6,4,1,4
AASDHPPT,119,117,77,35,54,65,31,45,67
AASS,3,2,117,0,0,0,0,0,1
AATBC,6,4,45,2,0,0,0,0,0
AATF,381,235,233,51,56,149,88,91,136
AATK,3,0,79,0,1,1,2,1,0
AATK-AS1,1,0,39,0,0,0,0,0,0
ABALON,0,0,7,0,0,0,2,0,0
ABAT,3,1,111,0,1,0,0,1,0
ABCA1,133,128,1089,15,8,282,92,78,182
ABCA10,2,3,144,0,0,0,2,0,0
ABCA11P,0,0,19,0,0,0,0,0,0
ABCA12,14,9,237,0,0,0,0,0,0
ABCA13,23,10,349,0,0,1,0,0,0
ABCA17P,0,2,86,0,0,0,0,0,0
ABCA2,1050,1067,846,158,201,208,186,160,203
ABCA3,11,0,143,2,3,14,10,6,23
ABCA4,14,5,207,1,0,0,2,0,0
ABCA5,10,3,200,1,1,0,3,7,0
ABCA6,6,5,156,0,0,0,0,0,0
ABCA7,16,9,180,11,15,18,9,7,25
ABCA8,11,3,154,0,0,0,0,1,0
ABCA9,7,3,157,0,0,0,1,2,0
ABCA9-AS1,2,0,9,0,0,0,0,0,0
ABCB1,711,772,263,110,134,85,122,243,130
ABCB10,7,2,77,1,0,0,1,1,0
ABCB11,6,6,112,0,0,0,0,0,0
