"baseMean","log2FoldChange","lfcSE","svalue"
"A1BG",1.06885698796581,-0.0249154150532983,0.66725679799524,0.374925581247406
"A1BG-AS1",0.245935120127226,-0.0330383135053416,0.669520630978488,0.344475265571509
"A1CF",4.63715206653019,-0.0854789675431035,0.675146036058557,0.250966558020678
"A2M",5.6518303465448,-0.0720122399248568,0.65899423791692,0.261765924964342
"A2M-AS1",0.860772920445293,-0.0342428214475936,0.669681698047522,0.328789189493477
"A2ML1",5.91734347559759,-0.0982460497391174,0.677007549990094,0.240499351751922
"A2MP1",1.33427659357629,-0.0308296514712638,0.668635010864703,0.360600363819064
"A3GALT2",1.30191173127025,-0.0323636546740308,0.669104041400396,0.351885134784826
"A4GALT",1.270664787324,-0.0346196390952557,0.669708024802212,0.320369308516269
"A4GNT",1.13795498451876,-0.0320003340502007,0.669020723280219,0.353473310019416
"AA06",0.4723857547712,-0.0236310178499622,0.667019498954436,0.375936138556369
"AAAS",30.0963649873213,-0.087270742699199,0.494494554478915,0.225605107355129
"AACS",6.15968382070479,-0.258711062562194,0.710791878425019,0.158410726351531
"AACSP1",1.92649177432994,-0.0349152937126035,0.669722139322478,0.317288223096117
"AADAC",1.14881514562019,-0.0344205619196072,0.669698945754752,0.324504418944358
"AADACL2",1.43462153407549,-0.0348050987065002,0.669721026199281,0.317838486288536
"AADACL2-AS1",0.760427979946094,-0.0273314884622796,0.667898841039849,0.372095408792834
"AADACL3",2.46137141699363,-0.0383056550556519,0.668844589888566,0.309850392963728
"AADACL4",1.41513704859224,-0.0310712730752927,0.668660080470063,0.359727654920353
"AADACP1",0.852148596063463,-0.0315004372773626,0.668865310693054,0.357742121336606
"AADAT",2.63730624320633,-0.0525445507552818,0.670378876326186,0.286860219522501
"AAED1",138.818289363667,-1.2572432045836,0.453364220397545,0.000404501921088643
"AAGAB",9.57065075584378,-0.311963008240238,0.682078779228322,0.130551636161599
"AAK1",5019.7586654198,-0.0335295390633871,0.238455949219456,0.243158510148796
"AAMDC",50.9924624912161,-0.101399059782214,0.452229302120338,0.204395302307384
"AAMP",184.639258392768,-0.0737736041385134,0.339142176552997,0.207473853532104
"AANAT",2.05248899761305,-0.0608671480249378,0.67091827976789,0.276861928674418
"AAR2",28.145109067139,-0.435404901899521,0.613364505222656,0.0776396814873156
"AARD",1.18868641394826,-0.0345749948664398,0.669705551464103,0.320857910934832
"AARS",169.993177935678,0.867447177364059,0.370781670606381,0.00156599662989882
"AARS2",6.34821466711108,-0.159204525212886,0.659994405444665,0.198065509053817
"AARSD1",0.204945933439355,-0.0327031843279992,0.669470271518975,0.347586859966262
"AASDH",6.70214300046714,-0.34890637778031,0.76570629194804,0.13095639745424
"AASDHPPT",65.7492018353005,-0.268240920066903,0.429547502921401,0.0916887830317861
"AASS",5.14542801535695,-0.190361593402943,0.699204463639173,0.187032891475824
"AATBC",2.66656286626992,0.0607515128677696,0.664463962680503,0.276293691526188
"AATF",131.710843147802,-0.345392165844588,0.363082330492071,0.0490554223366024
"AATK",4.19511988856771,-0.0939465324831722,0.664215997182654,0.242614231898259
"AATK-AS1",1.62982522477322,-0.0332213457782798,0.669243495030627,0.342691559499164
"ABALON",0.61458470044835,0.0222959856512238,0.666975002665584,0.376646570848752
"ABAT",5.0605565237262,-0.151008903701154,0.687524186598346,0.206461578500843
