"baseMean","log2FoldChange","lfcSE","svalue"
"A1BG",1.06885698796581,-0.0311121023699074,0.671609710387457,0.367995659689069
"A1BG-AS1",0.245935120127226,-0.0334608522081668,0.672349433526994,0.35634438992818
"A1CF",4.63715206653019,-0.0863682869850319,0.678099454575238,0.254298885098485
"A2M",5.6518303465448,-0.0872922423707825,0.665518138597123,0.25212238012257
"A2M-AS1",0.860772920445293,-0.0346112445135506,0.672551562836435,0.335760704715765
"A2ML1",5.91734347559759,-0.106799527926217,0.683382670676733,0.238795395473471
"A2MP1",1.33427659357629,-0.0322751123951997,0.671833395516815,0.36250403812235
"A3GALT2",1.30191173127025,-0.0356369699975024,0.672638704262242,0.318894794947697
"A4GALT",1.270664787324,-0.0348929544584613,0.672577733529414,0.327234598062456
"A4GNT",1.13795498451876,-0.0347321051582187,0.672568565535892,0.3307065588116
"AA06",0.4723857547712,-0.0335412836813,0.672454003055145,0.355163780267449
"AAAS",30.0963649873213,-0.0901122045758748,0.494398333552333,0.226605567174631
"AACS",6.15968382070479,-0.100643613977238,0.648434599086815,0.239359344546986
"AACSP1",1.92649177432994,-0.0353312029718768,0.672607275624298,0.320768827003235
"AADAC",1.14881514562019,-0.0320494576385173,0.671708707902398,0.364598185121814
"AADACL2",1.43462153407549,-0.0349871118851371,0.672585004752535,0.325617572524648
"AADACL2-AS1",0.760427979946094,-0.0297524971902743,0.671279874536889,0.372057215722627
"AADACL3",2.46137141699363,-0.0430173677829009,0.673255529684463,0.305903661086036
"AADACL4",1.41513704859224,-0.035032647524605,0.672595271528941,0.324291147496419
"AADACP1",0.852148596063463,-0.0305739604887927,0.671438577268945,0.368924032664754
"AADAT",2.63730624320633,-0.0530866674062498,0.673368154503379,0.289882626388226
"AAED1",138.818289363667,-0.714397745666687,0.426489210668415,0.0101825386416667
"AAGAB",9.57065075584378,-0.227705046080184,0.645385261109165,0.164654812773599
"AAK1",5019.7586654198,0.0211434688139448,0.238468683596916,0.281649892823569
"AAMDC",50.9924624912161,-0.554447166961055,0.532853379532642,0.0411664976140842
"AAMP",184.639258392768,0.346763793904726,0.356456595921487,0.0468370943277316
"AANAT",2.05248899761305,0.0142521177722061,0.667459043430164,0.382304140661051
"AAR2",28.145109067139,-0.0789614802538202,0.512392063316991,0.239983795381515
"AARD",1.18868641394826,-0.0346403347149592,0.672558655898778,0.335192670375484
"AARS",169.993177935678,1.40024799455491,0.38028273282168,1.37104123748882e-05
"AARS2",6.34821466711108,-0.459445081835218,0.90523858852643,0.123350814993074
"AARSD1",0.204945933439355,-0.0325412739724683,0.672245910518639,0.360769844445265
"AASDH",6.70214300046714,-0.324075026560623,0.745895985367968,0.142973859346115
"AASDHPPT",65.7492018353005,0.0286542435749755,0.410194880634106,0.299877695717301
"AASS",5.14542801535695,-0.19398156819364,0.703318215562911,0.189192434112686
"AATBC",2.66656286626992,-0.0753234760259289,0.671512853799823,0.264020276399119
"AATF",131.710843147802,-0.423568034048862,0.368871112560467,0.0327687992978877
"AATK",4.19511988856771,-0.089768792668199,0.666635406060666,0.250108548796282
"AATK-AS1",1.62982522477322,-0.035123713663772,0.67259599603895,0.322972879125233
"ABALON",0.61458470044835,-0.0481133822335829,0.672379665519721,0.298004677197004
"ABAT",5.0605565237262,0.0313981765509306,0.66177464383401,0.36513168337957
"ABCA1",163.846613812474,-2.38093846074494,0.621405791051714,6.2763227917562e-06
"ABCA10",6.41891847972218,-0.156331687173678,0.691757921042032,0.207512793026608
"ABCA11P",0.77879454706955,-0.0345291706533046,0.672542287407099,0.33832606549428
"ABCA12",10.5308584057019,-0.0330789438034825,0.671692988050848,0.359196733027035
"ABCA13",15.6056409655751,-0.472738401331699,0.9147956141288,0.120680993144391
"ABCA17P",3.60928426525225,-0.0554123279330083,0.673848403990341,0.28725568332528
"ABCA2",316.594723204931,0.114194671776437,0.276676418417989,0.148543505101007
"ABCA3",16.1278634580151,-1.92178898364715,2.1869570957365,0.0562678456224693
"ABCA4",9.69348446923212,-0.264294145110221,0.736928165167611,0.162666047661105
"ABCA5",10.7246006773478,-0.0124205933633082,0.655940872016461,0.382956575813031
"ABCA6",6.79233031222369,-0.121154267936039,0.685278674887056,0.228861401217247
"ABCA7",23.7862415813472,-0.949068731991473,1.06433107639232,0.0548653805174662
"ABCA8",6.94712302173523,-0.0243565863260267,0.66015640248746,0.37792395601358
"ABCA9",7.27368357608187,-0.0564787463752728,0.659137010566437,0.284193268378713
"ABCA9-AS1",0.431396568083329,-0.0333751922217093,0.672433524221813,0.357553687777471
"ABCB1",215.306369953493,1.00676036946522,0.359595824459472,0.000361530932368415
"ABCB10",4.02076065347692,-0.0731557687810665,0.665313812687689,0.265898476307937
"ABCB11",5.03091320300503,-0.0906753221418708,0.677622358502222,0.25051733216432
"ABCB4",8.54275124602479,-0.29148914224481,0.702233040932972,0.148069696969432
"ABCB5",6.97319353680575,-0.189798249581621,0.704844514055102,0.19170222123581
"ABCB6",14.9270689721972,-0.43948089444573,0.71626451063333,0.0977677323584583
"ABCB7",1523.31012194709,-0.0433970884809987,0.231538642058254,0.224161085893383
"ABCB8",5.77282204093354,-0.191026148712664,0.666108596516624,0.185493609437868
"ABCB9",99.5160589154422,1.32242998151489,0.511298559234877,0.000714069135675672
"ABCC1",28.3191052103933,-0.421915587428817,0.652125771220417,0.0909670788277054
"ABCC10",15.5445382544524,-1.43438391191497,1.31505315939778,0.0370800294805746
"ABCC11",4.87564183923108,-0.179190929572282,0.693908473040133,0.19535231864302
"ABCC12",6.04893536004303,-0.0901971660803756,0.680167646803703,0.251138366926298
"ABCC13",2.1066826529836,-0.0391899821144923,0.671060267218941,0.3122241995406
"ABCC2",5.17757725666477,-0.193994289924539,0.703881106800224,0.189355344363246
"ABCC3",6.01399067523202,0.0803506213234191,0.656689651351174,0.257300698714585
"ABCC4",11.7595880979586,-0.407275915101295,0.73064799882355,0.110211820087835
"ABCC5",222.274802207996,-1.28622311863567,0.33992454081801,7.97253265527578e-06
"ABCC5-AS1",0.77879454706955,-0.0345291706533046,0.672542287407099,0.338334465299667
"ABCC6",5.30362359363932,-0.0993433342440311,0.681203786977535,0.244188287362028
"ABCC6P1",1.82704913119231,-0.0348376623246608,0.672584127220679,0.328914041073507
"ABCC6P2",0.606213475936236,-0.0286237778263476,0.671013101600154,0.373360517459163
"ABCC8",6.42432992939442,-0.118382649362933,0.684905105305411,0.230694925214489
"ABCC9",8.00028559065698,-0.0346533318200249,0.672202182729952,0.333335530819304
"ABCD1",29.0117420048279,-0.0540149607924991,0.490204635954039,0.265549626658725
"ABCD2",9.27469847649772,-0.0362537469477274,0.658164544170845,0.316092128914042
"ABCD3",159.895220725661,-0.62673776283432,0.377514716962092,0.0105945710565278
"ABCD4",32.9917595053922,0.0105797667990887,0.492102552823653,0.38224553337319
"ABCE1",1175.52104548926,-0.145615535594469,0.239796579145638,0.0989301594303606
"ABCF1",137.650229624542,0.00408376362747633,0.320214872645503,0.384310923991796
"ABCF2",541.797039188744,-0.147129014467186,0.240806757406461,0.098142895880482
"ABCF3",60.8168216890058,-0.0723067376446025,0.407292900491751,0.228639305459309
"ABCG1",146.138733243055,-0.492075983683031,0.390783174855641,0.0257470598976034
"ABCG2",10.2334621712627,-0.217896400776392,0.646060427188562,0.168910871630156
"ABCG4",6.33221680252176,-0.365465711741297,0.760898212623214,0.130608560182447
"ABCG5",6.11177766840361,-0.110222447509815,0.682390028327019,0.23652052247969
"ABCG8",2.60494138090029,-0.0527363352293763,0.673795832152503,0.290426897090023
"ABHD1",2.54992269681999,-0.0321358580049478,0.665487915895127,0.361911571616195
"ABHD10",2.46406380358143,-0.0416168763084933,0.66297711743442,0.307119479575186
"ABHD11",7.32849426278961,-0.37041638142164,0.749621939097741,0.126611282367547
"ABHD11-AS1",0.491870240254453,-0.0340250571338338,0.67247908238703,0.349433201527054
"ABHD12",70.5865551361188,0.932334064428331,0.51088237863254,0.00713617967701283
"ABHD12B",2.0665957636573,-0.0405456492665204,0.671534908385922,0.309900168575396
"ABHD13",19.8970615265194,-0.00862912380684431,0.536025005398358,0.383679203556591
"ABHD14A",1.72966961617776,-0.131873198560734,0.687878556003182,0.222421442894453
"ABHD14A-ACY1",0,NA,NA,NA
"ABHD14B",2.46226926197625,-0.0344572089477225,0.662543006257632,0.325955593293221
"ABHD15",4.5439514511672,-0.335668280528713,0.792338675567047,0.145849872078219
"ABHD16A",140.019331667427,-0.512727053692476,0.380910080378183,0.0217660648131632
"ABHD16B",1.1660787418032,-0.0493773735687387,0.672690812975048,0.295307648899948
"ABHD17A",40.6648282843696,-0.247828039829693,0.472454704679304,0.118046749683824
"ABHD17B",557.937414803024,0.469165841666176,0.247965000875796,0.0060649907380337
"ABHD17C",228.447757328871,0.0416637581970679,0.298299905427062,0.24727567891216
"ABHD2",915.616295987621,0.454488333160244,0.238416933301645,0.00579806707550208
"ABHD3",2.48152317904193,-0.0284618457964417,0.66725445316572,0.373419475099894
"ABHD4",35.7783651891273,0.73803371583367,0.70572170414526,0.040609589306996
"ABHD5",36.1789385473218,0.332262372681502,0.507852439024613,0.0893249017764606
"ABHD6",45.5926181611003,-0.124284474234659,0.45145979202848,0.189518080343385
"ABHD8",5.19362084589842,-0.351500462805836,0.764635749845102,0.136322980299066
"ABI1",2388.00385035496,0.700846569110832,0.243233075533341,0.000289138692254173
"ABI2",524.061520959892,0.722660326969382,0.340784338053209,0.00313677885841591
"ABI3",73.509313821309,-0.690470918689256,0.498272773299871,0.0198559254182313
"ABI3BP",12.7704967398969,-0.220407113337818,0.677418378032674,0.172610761573147
"ABL1",247.795791265568,0.00364041063950902,0.282913999775267,0.384288505702327
"ABL2",682.238051254158,0.0670626365223137,0.269222783146728,0.198350303248404
"ABLIM1",1294.68385653497,-1.0141581841341,0.287518388407005,2.8204119383678e-05
"ABLIM2",8.30378419625033,-0.326067959693471,0.745671505151905,0.142363131236241
"ABLIM3",7.47519694918826,0.0718357945095422,0.659598704172756,0.267093983437812
"ABO",1.75049873661016,0.0255634163083082,0.6666916491463,0.37730344506996
"ABR",2179.61814232636,1.07021863767742,0.237569696869005,2.60637168742478e-07
"ABRA",1.53481191217216,-0.0746737483324844,0.675065107457356,0.265076965202284
"ABRACL",50.1611298988397,-0.232622114476968,0.551882858546408,0.146326659583819
"ABT1",1.87367565161199,-0.0456563458182245,0.666410776403088,0.301138866786861
"ABTB1",4.09208602827193,-0.21734417282013,0.686196909033388,0.174993977780911
"ABTB2",141.474954462008,-0.214435690211565,0.344028224674427,0.0957396125818802
"ACAA1",28.1390625074168,-0.196042484722998,0.507024521311618,0.155447735190105
"ACAA2",6.01271185861099,-0.147976336416523,0.654788318981637,0.20753772751106
"ACACA",837.422426462912,-0.233520481067781,0.233376926175621,0.044348202067236
"ACACB",12.5899801045967,-0.462694741199441,0.816469468861226,0.107920335402974
"ACAD10",5.89478664092314,-0.435781585690608,0.844890752226698,0.120890123831816
"ACAD11",0.450881053566582,-0.0339354713971524,0.672465192737041,0.351007998279578
"ACAD8",22.9891878583493,-0.185611335176748,0.57078509954628,0.172669079216324
"ACAD9",15.0074478424777,-0.367753868874582,0.7232700140611,0.123109357694806
"ACADL",25.2009629273806,-0.283017310761152,0.642069602206882,0.14152647884009
"ACADM",5.47329508488475,-0.231288602758701,0.694847868644776,0.170385930207275
"ACADS",5.77770787890046,-0.133966941146407,0.63849813066083,0.214701244912633
"ACADSB",9.64754897784957,-0.248085920866015,0.660049347267553,0.158065683277523
"ACADVL",30.1741376559436,-0.59476056693352,0.637953850097578,0.0504846439296816
"ACAN",5.117274795741,-0.145925379585285,0.68722331420359,0.213522722243069
"ACAP1",381.388227795481,-0.302788329163,0.317979176096463,0.0485232228457395
"ACAP2",368.175148491611,-0.0800269194524146,0.290309388762601,0.189301063162705
"ACAP3",18.6595208378576,-0.00550480612362696,0.541034813797522,0.384866433512939
"ACAT1",224.217940938535,-0.375587298298073,0.336014255138265,0.0347998130939212
"ACAT2",2.16024393790283,-0.00479637500618838,0.668009096329503,0.385426590939009
"ACBD3",179.934457622436,-0.187689179359751,0.294367421703748,0.0929793836453747
"ACBD4",9.21398875818381,-0.0614562469176187,0.604140529732745,0.272897958102424
"ACBD5",347.919364931102,0.353947684206065,0.28088843674882,0.0256875050701064
"ACBD6",72.7941068677875,-0.160122447605369,0.406537646780156,0.153494164854835
"ACBD7",2.30827483134357,-0.0480121616010376,0.673264399880832,0.298283807403118
"ACCS",18.1396459841796,-0.443206203532529,0.635088259026263,0.0806927485951774
"ACCSL",2.10227203814012,-0.103658580201219,0.677048290138165,0.240460890581862
"ACD",1.25118030184075,-0.0347199383549463,0.672570719204678,0.331004333577182
"ACE",65.8037052922518,0.0786256196509535,0.664858535739895,0.26005760430567
"ACE2",4.1106811272501,-0.0653960156938591,0.675892782891783,0.276181085504566
"ACER1",1.80011224767986,0.0201780756609057,0.667222442067294,0.379896907908838
"ACER2",4.42611826113566,-0.120491468058964,0.662598445735252,0.226807613644925
"ACER3",39.8885860720999,-0.140913806210824,0.48321104573954,0.183914565647775
"ACHE",2.51920441762605,-0.0063846217603318,0.659139609070168,0.384960529179026
"ACIN1",1731.90181160215,-0.225972013086262,0.228663697125501,0.0453911421694497
"ACKR1",0.90288002549296,-0.0308805151725244,0.671469433392474,0.368363267322321
"ACKR2",1.75279278483683,-0.035133879094042,0.672595753265505,0.322611401044931
"ACKR3",10.4961369061245,0.239560255152363,0.701311106461771,0.167813885229141
"ACKR4",1.14573636870925,-0.0739298910725047,0.675070435165177,0.266281049088752
"ACLY",803.610763300204,0.601202198332957,0.252838904301913,0.00128826033262809
"ACMSD",2.00958806606548,-0.0347195074796349,0.672146510945522,0.330529192709961
"ACO1",33.2307712960169,-0.455964519658146,0.592337767120962,0.0696268442397845
"ACO2",321.414806271661,0.265386158339674,0.294543945254318,0.0540369126521447
"ACOT1",0.450881053566582,-0.0339354713971524,0.672465192737041,0.351014976576471
"ACOT11",13.4156279792058,0.334053603671563,0.690393218363485,0.129396719541955
