"baseMean","log2FoldChange","lfcSE","svalue"
"A1BG",1.06885698796581,-0.000464915429580418,0.112649277395025,0.464013779498751
"A1BG-AS1",0.245935120127226,-0.000168359315819239,0.112657741286127,0.469904580849503
"A1CF",4.63715206653019,-5.4010542407102e-05,0.112616718986269,0.472477613520186
"A2M",5.6518303465448,-0.000722399960213324,0.112569955542739,0.458688260673153
"A2M-AS1",0.860772920445293,-0.000186180676155982,0.112657577563763,0.468038053785147
"A2ML1",5.91734347559759,-0.00181977307424502,0.112651347107239,0.440870677802801
"A2MP1",1.33427659357629,-0.0002172381471722,0.112645948689849,0.466458546835903
"A3GALT2",1.30191173127025,-0.000718204959630154,0.112659578541807,0.460061318419699
"A4GALT",1.270664787324,-0.000189203426794204,0.112657522919451,0.467738886114152
"A4GNT",1.13795498451876,-0.000729147174469922,0.11265965611309,0.457541978808015
"AA06",0.4723857547712,-0.000800930634270812,0.112661472076299,0.454983222021894
"AAAS",30.0963649873213,5.39671003802662e-06,0.111291501214607,0.473076841851401
"AACS",6.15968382070479,0.00536968880773752,0.112679604018038,0.404924783504892
"AACSP1",1.92649177432994,-0.000197555802079314,0.112657480247628,0.467207944125303
"AADAC",1.14881514562019,0.000584500631999123,0.112657273410288,0.462605774272534
"AADACL2",1.43462153407549,-0.000196335922698495,0.112657523548785,0.467246890105712
"AADACL2-AS1",0.760427979946094,-0.000210838305016476,0.112645532366863,0.466611091705683
"AADACL3",2.46137141699363,-0.00103998074769574,0.112664971884209,0.449194309186108
"AADACL4",1.41513704859224,-0.000787853711629897,0.11266172308246,0.456076985584984
"AADACP1",0.852148596063463,4.7685016518573e-05,0.112645397962575,0.472612563983489
"AADAT",2.63730624320633,-0.000137644052610842,0.112634061069095,0.471582893851664
"AAED1",138.818289363667,0.0343915955879917,0.116553166622562,0.308070999645153
"AAGAB",9.57065075584378,0.0023562615784028,0.112289580457961,0.433658864564789
"AAK1",5019.7586654198,0.00921994314634522,0.10338920534051,0.380572429827825
"AAMDC",50.9924624912161,-0.0231780059522178,0.114304134975904,0.337700478189033
"AAMP",184.639258392768,0.0448362672934789,0.120826142412276,0.285097885876168
"AANAT",2.05248899761305,0.00223903133917247,0.112673105517773,0.435300217650271
"AAR2",28.145109067139,0.0151799773142817,0.113109495529893,0.362325107829085
"AARD",1.18868641394826,-0.000229394326775021,0.112657636821614,0.466220684746924
"AARS",169.993177935678,0.0485231338707386,0.122077071437167,0.276887921344839
"AARS2",6.34821466711108,-0.00786880079286037,0.112957194609739,0.390561393525083
"AARSD1",0.204945933439355,-0.000167701223954362,0.112657769675338,0.470123586309331
"AASDH",6.70214300046714,0.00154764452107916,0.112462125549588,0.444068036827918
"AASDHPPT",65.7492018353005,0.0214130861923299,0.113010119173523,0.342149420523191
"AASS",5.14542801535695,-0.00022966103350997,0.112605129934065,0.466217381495649
"AATBC",2.66656286626992,-0.00325766598434813,0.112693854193495,0.42355833388523
"AATF",131.710843147802,-0.00703859653191605,0.108814927208091,0.393375986336113
"AATK",4.19511988856771,-0.000262879611634535,0.112555860028348,0.465894383193024
"AATK-AS1",1.62982522477322,-0.000714006611318772,0.11265957841508,0.46025691109248
"ABALON",0.61458470044835,-0.00210336975703557,0.112676333361583,0.437027365261229
"ABAT",5.0605565237262,0.00471642762640575,0.112748585863977,0.410374664757589
"ABCA1",163.846613812474,-0.00471597036388197,0.110891587208203,0.409543898139699
"ABCA10",6.41891847972218,-0.00463200373135808,0.112741674569809,0.41108401967308
"ABCA11P",0.77879454706955,-0.000186587836363712,0.112657594948616,0.46791457410276
"ABCA12",10.5308584057019,-8.72883229433369e-05,0.11264337824618,0.472114725026879
"ABCA13",15.6056409655751,-0.00234651566045355,0.11253801950995,0.433863281781972
"ABCA17P",3.60928426525225,0.0011599622680796,0.112661839213445,0.447875242585398
"ABCA2",316.594723204931,0.0215741803290097,0.108197415253404,0.338845646241773
"ABCA3",16.1278634580151,-0.00655406090209184,0.112544210872658,0.397517782636828
"ABCA4",9.69348446923212,-0.00825250394067275,0.113011312361179,0.388508826326704
"ABCA5",10.7246006773478,0.00324038595989247,0.112528458033049,0.423740947750227
"ABCA6",6.79233031222369,0.000104900915919628,0.11259717532278,0.472009942111871
"ABCA7",23.7862415813472,0.000157665662747964,0.111918041669626,0.47079523461413
"ABCA8",6.94712302173523,0.0027350550501552,0.112647673911728,0.42915860410231
"ABCA9",7.27368357608187,0.00191523650690621,0.112570169979036,0.439538268005484
"ABCA9-AS1",0.431396568083329,-0.000801627836356198,0.112661438855805,0.454888535480068
"ABCB1",215.306369953493,0.0584530170182547,0.128321423285923,0.260027437824038
"ABCB10",4.02076065347692,-0.00250815998672656,0.112603060303909,0.431984767268394
"ABCB11",5.03091320300503,0.000382929747321145,0.112611352748209,0.464716477585526
"ABCB4",8.54275124602479,-0.000919401871660864,0.112337592063799,0.450982258854078
"ABCB5",6.97319353680575,-0.00425301126996726,0.112735990243141,0.414491840334704
"ABCB6",14.9270689721972,-0.00859013574500043,0.112619054861146,0.386788574588809
"ABCB7",1523.31012194709,-0.00286348433334587,0.102413934653055,0.424710881936989
"ABCB8",5.77282204093354,0.000828216780381318,0.112491660925218,0.453601296207076
"ABCB9",99.5160589154422,0.0424266415621811,0.121519268436528,0.291174204821793
"ABCC1",28.3191052103933,0.00282249237176,0.111806677904732,0.428108141449715
"ABCC10",15.5445382544524,-0.0027202648879541,0.112139301850201,0.429199748613504
"ABCC11",4.87564183923108,0.00116613120024041,0.112607728347913,0.447821801871471
"ABCC12",6.04893536004303,-0.00215047616094565,0.112683262518755,0.436450804369943
"ABCC13",2.1066826529836,0.00025688887761016,0.112638641441132,0.465961405470091
"ABCC2",5.17757725666477,-0.00215423394516386,0.112653639923044,0.436378697090873
"ABCC3",6.01399067523202,0.0078319007657141,0.112985789613934,0.390826791431702
"ABCC4",11.7595880979586,0.00019541203727437,0.112210025816224,0.467284192043503
"ABCC5",222.274802207996,0.0126311469865724,0.107930322059413,0.368902323873104
"ABCC5-AS1",0.77879454706955,-0.000186587836363712,0.112657594948616,0.467916067600344
"ABCC6",5.30362359363932,-0.00120578565312535,0.112629490154509,0.447417903133514
"ABCC6P1",1.82704913119231,-0.000861223669947991,0.112663982129987,0.452245654146745
"ABCC6P2",0.606213475936236,4.3618799418819e-05,0.112645197148354,0.472682871597158
"ABCC8",6.42432992939442,-0.000992090891059612,0.112610099873695,0.449852482898376
"ABCC9",8.00028559065698,-0.000412762769506108,0.112647201562514,0.464493147185434
"ABCD1",29.0117420048279,0.00621513779608778,0.111539750059651,0.399124628725279
"ABCD2",9.27469847649772,-0.00361817537291147,0.112553593682908,0.419990383957963
"ABCD3",159.895220725661,-0.0184962628852534,0.110368536594781,0.350317490853349
"ABCD4",32.9917595053922,0.0158193670348986,0.113063656607618,0.359868105612681
"ABCE1",1175.52104548926,-0.0284416919551065,0.107127017072588,0.317367208822486
"ABCF1",137.650229624542,-0.0314539790584836,0.11348682407431,0.313725311822503
"ABCF2",541.797039188744,-0.0651808978614542,0.125838476452876,0.237317216988365
"ABCF3",60.8168216890058,0.0313654490103413,0.116440787476178,0.316459991245037
"ABCG1",146.138733243055,0.0152129342045882,0.110390593321453,0.360749116143834
"ABCG2",10.2334621712627,0.00993309125218804,0.112977357946983,0.381168137963007
"ABCG4",6.33221680252176,-0.00241456697513997,0.112428860191113,0.433007470950558
"ABCG5",6.11177766840361,-0.00326658225075079,0.112722948962604,0.423494605498355
"ABCG8",2.60494138090029,-0.000316318874172407,0.112637982639555,0.465377745469745
"ABHD1",2.54992269681999,0.00259129207390483,0.112647934525968,0.431022221822817
"ABHD10",2.46406380358143,0.00189910671683969,0.112612983399151,0.439758599514742
"ABHD11",7.32849426278961,-0.0020552996230642,0.112376671052258,0.437556454198043
"ABHD11-AS1",0.491870240254453,-0.000117382171150594,0.11265753009959,0.471800776547817
"ABHD12",70.5865551361188,0.0210120255596203,0.112673727185442,0.343133564816878
"ABHD12B",2.0665957636573,-0.000373375128617433,0.112639291704593,0.464792790716915
"ABHD13",19.8970615265194,0.00506112141545743,0.1119730035908,0.407214359763614
"ABHD14A",1.72966961617776,-0.0035564592429748,0.112725389284371,0.42080799807954
"ABHD14A-ACY1",0,NA,NA,NA
"ABHD14B",2.46226926197625,-0.00121972584060776,0.112589345190967,0.447266428091773
"ABHD15",4.5439514511672,-0.00715681287883214,0.112931559829847,0.394178300355776
"ABHD16A",140.019331667427,-0.0492441534567765,0.123990898209658,0.277053791077229
"ABHD16B",1.1660787418032,-0.00196966433164731,0.112672052599381,0.438785356395319
"ABHD17A",40.6648282843696,-0.009621135865053,0.111418716184251,0.381795308862925
"ABHD17B",557.937414803024,0.000667132173443846,0.103095129601456,0.457623182433312
"ABHD17C",228.447757328871,-0.0271257553103182,0.110982296341422,0.323870400055328
"ABHD2",915.616295987621,0.0610022215259786,0.121586941112182,0.243561747117759
"ABHD3",2.48152317904193,-0.000173311205117365,0.112605121830613,0.469474329402399
"ABHD4",35.7783651891273,-6.22403693539681e-05,0.111416373767666,0.472397424753516
"ABHD5",36.1789385473218,0.00114827395807144,0.111046141647397,0.447837080355449
"ABHD6",45.5926181611003,-0.0015423857582473,0.110750675384636,0.443859533701667
"ABHD8",5.19362084589842,-0.000604190109693323,0.112441233790865,0.462079080092332
"ABI1",2388.00385035496,0.0248776297030162,0.105433616658685,0.32671584726504
"ABI2",524.061520959892,-0.0340473360540982,0.114066444711731,0.307153053370765
"ABI3",73.509313821309,-0.00529655698959768,0.110445401634429,0.404693376785945
"ABI3BP",12.7704967398969,-0.00198096606971378,0.112344813552001,0.438511194355915
"ABL1",247.795791265568,0.027920864122394,0.11041941959477,0.321037080522413
"ABL2",682.238051254158,-0.029786138392423,0.110129200916739,0.316205337576378
"ABLIM1",1294.68385653497,-0.0441686800535251,0.115530321387851,0.281925150045764
"ABLIM2",8.30378419625033,-0.00833607398319369,0.112913445404991,0.388103027067334
"ABLIM3",7.47519694918826,0.00355346176358474,0.112578909754655,0.420765389438052
"ABO",1.75049873661016,0.00214531107645594,0.112663477902892,0.436500630675153
"ABR",2179.61814232636,0.0279736254823601,0.105482223240057,0.317511780676843
"ABRA",1.53481191217216,-0.000933714841721938,0.11265923733745,0.450787674439529
"ABRACL",50.1611298988397,-0.00807855501933297,0.111903191921209,0.388960337708466
"ABT1",1.87367565161199,-0.00086345020035861,0.112602739787621,0.452213317316394
"ABTB1",4.09208602827193,-0.00396133580442504,0.112569873462379,0.416894879067839
"ABTB2",141.474954462008,0.0458299284228093,0.121466707008577,0.283317199922757
"ACAA1",28.1390625074168,-0.000504151662142783,0.111326811109336,0.463699433951143
"ACAA2",6.01271185861099,0.00217670154924302,0.112446567032545,0.436026887571834
"ACACA",837.422426462912,-0.0531898002180805,0.117017707796024,0.260693756658389
"ACACB",12.5899801045967,0.00599531236935951,0.112633409840231,0.400779772257495
"ACAD10",5.89478664092314,-0.00561953220400019,0.112688807597809,0.403384148394219
"ACAD11",0.450881053566582,-0.000170546686842276,0.112657645024123,0.469640949546235
"ACAD8",22.9891878583493,-0.00370114736122226,0.11204747128856,0.418915366479802
"ACAD9",15.0074478424777,-0.00230587419217324,0.112212164327572,0.434292058868917
"ACADL",25.2009629273806,-0.00403489996002629,0.112064307710768,0.416178158956879
"ACADM",5.47329508488475,0.00166270670763435,0.112496616891227,0.442862735919541
"ACADS",5.77770787890046,-0.00294007386340318,0.112484059319397,0.426858981965518
"ACADSB",9.64754897784957,0.00220890183110591,0.112297319154035,0.435506229590343
"ACADVL",30.1741376559436,-0.0160033205705204,0.113075766040891,0.359188218891147
"ACAN",5.117274795741,-0.00329803631887029,0.112679285601951,0.423134180330149
"ACAP1",381.388227795481,0.00209486611742035,0.107154479799127,0.43573362758413
"ACAP2",368.175148491611,-0.00303380604922507,0.10633631192239,0.424056533704006
"ACAP3",18.6595208378576,0.00275607197694654,0.111851468220881,0.428820918262257
"ACAT1",224.217940938535,-0.0488898293766838,0.122252870252771,0.276165053003151
"ACAT2",2.16024393790283,0.000817975255107028,0.112612293024999,0.454305954998294
"ACBD3",179.934457622436,0.00289223405908914,0.106487199710697,0.42565705762933
"ACBD4",9.21398875818381,-0.0023803512565473,0.112310089991182,0.433380330167634
"ACBD5",347.919364931102,-0.0132460113222191,0.106370851960033,0.366425017960487
"ACBD6",72.7941068677875,-0.026389693867236,0.114365072174355,0.328451795667035
"ACBD7",2.30827483134357,-0.000505593328930921,0.112642479609609,0.463723629241727
"ACCS",18.1396459841796,0.00850034791915052,0.112268714508383,0.387235266561903
"ACCSL",2.10227203814012,0.000176728416633358,0.112625322688325,0.468896023575809
"ACD",1.25118030184075,-0.000897640686015454,0.112662923021413,0.451360429144993
"ACE",65.8037052922518,0.00271058834223107,0.112547268370529,0.429493200610461
"ACE2",4.1106811272501,-0.00145191106287191,0.112667413413291,0.44503093247687
"ACER1",1.80011224767986,0.00240645364625478,0.112673495564681,0.433173003813371
"ACER2",4.42611826113566,0.00165575557371938,0.112508381646124,0.442943675341719
