,baseMean,log2FoldChange,pvalue
TMEM108,190.9746641,-1.086413668,3.98E-53
NR4A2,18594.71074,1.017325985,5.25E-53
STMN1,752.9520217,-1.114365417,7.34E-53
SPRY2,875.92246,1.139443477,3.68E-45
HIST1H2BL,610.1898683,-1.166671543,2.74E-38
SSBP2,1284.853864,-1.475189449,4.55E-37
RAPGEF4,562.0189321,-1.351939011,7.23E-36
HIST1H2BN,1604.446875,-1.054370535,2.15E-31
RRM2,256.631798,-1.510834821,4.20E-30
KIAA1958,523.1660079,1.836631686,4.76E-28
ATP2B2,185.267729,3.868505602,7.45E-27
KIF11,575.6317559,-1.305179456,2.16E-25
DLG2,434.614878,2.209387049,4.21E-23
EOMES,302.7766448,2.458566397,6.55E-22
HIST1H2BO,185.2351528,-1.220404475,1.15E-20
HIST2H2BF,441.2942586,-1.20740841,1.20E-20
SETBP1,743.4843492,1.596741149,9.25E-19
RAD51,160.7383162,-1.067953726,1.16E-18
IFT80,146.9558985,-1.127564867,3.42E-18
CHN2,163.0366411,1.212963572,7.10E-18
CIT,413.1605798,-1.173820294,9.20E-18
SPRY1,175.2134941,1.103228791,1.97E-17
CKS1B,126.8959574,-1.528770339,5.41E-17
HIST2H3D,543.3052956,-1.067466638,1.03E-15
KCNA2,435.3000591,1.176084233,1.68E-15
ST8SIA1,55.99180591,-1.807277978,2.79E-15
TOX,4164.534662,1.055415673,1.39E-14
HIST1H2BF,54.43645419,-1.369510746,1.73E-14
KIF4B,134.9241095,-1.304579094,2.19E-14
KIF4A,247.1416749,-1.350378576,2.77E-14
CCNA2,112.649203,-1.727714411,8.74E-14
HIST1H1E,282.2159014,-1.132965289,9.19E-14
HIST1H2BD,73.29153827,-1.43076204,2.78E-13
RALGPS2,233.8077739,-1.268382037,3.38E-13
KSR2,36.0370567,1.68426518,6.40E-13
IER5L,1097.901986,2.023615304,7.41E-13
CCNE2,136.8692909,-1.004707808,1.02E-12
KIF13B,335.256475,1.082376951,1.20E-12
HOXA5,73.73939265,1.39587899,1.28E-10
CCNB2,92.35820075,-1.650846461,1.47E-10
TYMS,72.53774558,-1.227702653,2.45E-10
PLK1,104.9499117,-1.062961885,3.43E-10
ADCY6,43.60355067,-1.312433674,4.74E-10
E2F3,413.4517787,-1.096822978,5.16E-10
MYBL2,90.38888756,-1.391768405,1.03E-09
BACH2,483.9680382,1.203178178,1.33E-09
DNAJC6,32.28081362,-1.433492351,1.52E-09
ZEB2,12361.12672,1.067796596,1.63E-09
SOCS2,115.2357941,-1.216058892,2.27E-09
PRR5L,101.5563594,1.21173855,2.86E-09
MCM5,145.0071692,-1.119395842,3.94E-09
FURIN,351.1653716,-1.026948157,1.06E-08
DEPDC1,77.89896855,-1.540274827,1.39E-08
CLSPN,116.854506,-1.223087966,2.66E-08
EFCAB7,38.09359839,-2.04143604,3.80E-08
CTNND2,101.7116921,1.882854938,4.63E-08
NRN1,1225.347076,1.625514362,4.96E-08
JAZF1,182.0336653,1.325229501,6.43E-08
TFDP1,491.4430638,-1.186956043,1.40E-07
HIST1H2BI,68.94339372,-1.210474082,2.22E-07
MCM7,213.4851302,-1.259149363,2.27E-07
HIST1H2AI,105.0704659,-1.02238982,2.33E-07
SELL,27.74208824,-1.201691995,4.75E-07
ACTG2,483.9086409,-1.586901698,4.88E-07
TTN,969.2577616,1.733384165,5.88E-07
