,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,svalue
TMEM108,190.9746641,-1.086413668,0.619694398,241.313424,3.98E-53,2.70E-50,0.30049412
NR4A2,18594.71074,1.017325985,0.3125192,240.7562372,5.25E-53,3.29E-50,0.005285715
STMN1,752.9520217,-1.114365417,0.267586049,240.0866149,7.34E-53,4.27E-50,0.000147234
SPRY2,875.92246,1.139443477,0.356330049,204.6246551,3.68E-45,1.50E-42,0.009352763
HIST1H2BL,610.1898683,-1.166671543,0.302843405,172.9809514,2.74E-38,7.69E-36,0.000414446
SSBP2,1284.853864,-1.475189449,0.30662305,167.3623441,4.55E-37,1.19E-34,4.39E-06
RAPGEF4,562.0189321,-1.351939011,0.469599121,161.8307629,7.23E-36,1.73E-33,0.236544616
HIST1H2BN,1604.446875,-1.054370535,0.306103557,141.2252329,2.15E-31,3.99E-29,0.002508732
RRM2,256.631798,-1.510834821,0.358954221,135.2844274,4.20E-30,7.28E-28,9.72E-05
KIAA1958,523.1660079,1.836631686,0.25404287,125.825073,4.76E-28,7.90E-26,3.23E-12
ATP2B2,185.267729,3.868505602,0.481573528,120.323865,7.45E-27,1.17E-24,1.93E-14
KIF11,575.6317559,-1.305179456,0.413929451,113.5925738,2.16E-25,3.13E-23,0.015015319
DLG2,434.614878,2.209387049,0.458216061,103.0461596,4.21E-23,5.43E-21,7.32E-06
EOMES,302.7766448,2.458566397,0.378945354,97.55395455,6.55E-22,7.31E-20,3.85E-10
HIST1H2BO,185.2351528,-1.220404475,0.375493379,91.832349,1.15E-20,1.24E-18,0.007272295
HIST2H2BF,441.2942586,-1.20740841,0.367633673,91.74434709,1.20E-20,1.28E-18,0.004942034
SETBP1,743.4843492,1.596741149,0.355012424,83.04833651,9.25E-19,8.28E-17,2.07E-05
RAD51,160.7383162,-1.067953726,0.405267997,82.58765143,1.16E-18,9.98E-17,0.223809569
IFT80,146.9558985,-1.127564867,0.433555889,80.4362093,3.42E-18,2.87E-16,0.230410431
CHN2,163.0366411,1.212963572,0.401428116,78.97398142,7.10E-18,5.78E-16,0.018480433
CIT,413.1605798,-1.173820294,0.425671575,78.45367804,9.20E-18,7.42E-16,0.226824716
SPRY1,175.2134941,1.103228791,0.446797752,76.92763094,1.97E-17,1.58E-15,0.239316382
CKS1B,126.8959574,-1.528770339,0.394171045,74.91071449,5.41E-17,4.08E-15,0.000561646
HIST2H3D,543.3052956,-1.067466638,0.399944547,69.01638311,1.03E-15,6.99E-14,0.224304931
KCNA2,435.3000591,1.176084233,1.013394995,68.044184,1.68E-15,1.09E-13,0.369195552
ST8SIA1,55.99180591,-1.807277978,0.817263799,67.02453307,2.79E-15,1.78E-13,0.312516805
TOX,4164.534662,1.055415673,0.274407908,63.81300019,1.39E-14,8.03E-13,0.000329679
HIST1H2BF,54.43645419,-1.369510746,0.544404371,63.37469817,1.73E-14,9.79E-13,0.262455559
KIF4B,134.9241095,-1.304579094,0.488134097,62.90068379,2.19E-14,1.22E-12,0.242150456
KIF4A,247.1416749,-1.350378576,0.513217239,62.4358167,2.77E-14,1.52E-12,0.252440766
CCNA2,112.649203,-1.727714411,0.553754715,60.13721774,8.74E-14,4.36E-12,0.015946812
HIST1H1E,282.2159014,-1.132965289,0.343156245,60.03680436,9.19E-14,4.56E-12,0.004242258
HIST1H2BD,73.29153827,-1.43076204,0.525859608,57.82533955,2.78E-13,1.31E-11,0.250683647
RALGPS2,233.8077739,-1.268382037,0.423109342,57.43320032,3.38E-13,1.58E-11,0.020689474
KSR2,36.0370567,1.68426518,1.072221476,56.15489085,6.40E-13,2.93E-11,0.352025
IER5L,1097.901986,2.023615304,0.788274591,55.86265755,7.41E-13,3.35E-11,0.303958804
CCNE2,136.8692909,-1.004707808,0.435311102,55.22243712,1.02E-12,4.49E-11,0.244165719
KIF13B,335.256475,1.082376951,0.302995404,54.90322014,1.20E-12,5.13E-11,0.001411312
HOXA5,73.73939265,1.39587899,0.703928931,45.55574177,1.28E-10,4.44E-09,0.307593001
CCNB2,92.35820075,-1.650846461,0.63801467,45.27934422,1.47E-10,5.01E-09,0.279923571
TYMS,72.53774558,-1.227702653,0.51630342,44.25991599,2.45E-10,8.14E-09,0.262197866
PLK1,104.9499117,-1.062961885,0.45202913,43.58479734,3.43E-10,1.11E-08,0.245862457
ADCY6,43.60355067,-1.312433674,0.811252673,42.93898228,4.74E-10,1.51E-08,0.335761878
E2F3,413.4517787,-1.096822978,0.356580741,42.77069977,5.16E-10,1.63E-08,0.021234078
MYBL2,90.38888756,-1.391768405,0.573625256,41.3892899,1.03E-09,3.20E-08,0.273629642
BACH2,483.9680382,1.203178178,0.380181261,40.88158691,1.33E-09,4.06E-08,0.011822235
DNAJC6,32.28081362,-1.433492351,1.012576547,40.60897802,1.52E-09,4.60E-08,0.356654809
ZEB2,12361.12672,1.067796596,0.859763285,40.46880193,1.63E-09,4.88E-08,0.353782085
SOCS2,115.2357941,-1.216058892,0.567339579,39.80294524,2.27E-09,6.64E-08,0.283214658
PRR5L,101.5563594,1.21173855,0.60099407,39.3478557,2.86E-09,8.10E-08,0.293705915
MCM5,145.0071692,-1.119395842,0.382691751,38.7016772,3.94E-09,1.10E-07,0.02487894
FURIN,351.1653716,-1.026948157,0.366984699,36.73311809,1.06E-08,2.75E-07,0.267771685
DEPDC1,77.89896855,-1.540274827,0.607947451,36.1882646,1.39E-08,3.54E-07,0.275941508
CLSPN,116.854506,-1.223087966,0.53471357,34.88796869,2.66E-08,6.57E-07,0.274083527
EFCAB7,38.09359839,-2.04143604,0.834764213,34.17389798,3.80E-08,9.14E-07,0.306831962
CTNND2,101.7116921,1.882854938,0.649745166,33.77735961,4.63E-08,1.09E-06,0.057841963
NRN1,1225.347076,1.625514362,1.034396006,33.63689216,4.96E-08,1.15E-06,0.354080696
JAZF1,182.0336653,1.325229501,0.36204888,33.12064462,6.43E-08,1.46E-06,0.001249173
TFDP1,491.4430638,-1.186956043,0.380832915,31.5649303,1.40E-07,3.00E-06,0.013633844
HIST1H2BI,68.94339372,-1.210474082,0.635589214,30.64228465,2.22E-07,4.58E-06,0.303875713
MCM7,213.4851302,-1.259149363,0.344092507,30.60101188,2.27E-07,4.67E-06,0.001132518
